"GeoLocation"
"latitude","longitude","elevation"
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
64.111000,8.118700,-303.0
