"CORA compilation"
elevation,idx_colony,latitude,longitude,name
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-157.0,0,63.6077,9.3793,A2W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
-303.0,1,64.111,8.1187,C1W
