"corallites.Label-Analysis"
"Thickness3d","Breadth3d","Width3d","Length3d","Area3d","BorderVoxelCount","Volume3d","VoxelFaceArea","Anisotropy","Elongation","Flatness","index","Materials"
7.63284,9.30584,8.2832,21.2849,412.748,0,455.536,643.52,0.901929,0.125039,0.78432,58,""
6.72902,7.1602,6.62302,12.2803,187.024,0,160.408,281.827,0.708384,0.394782,0.738676,59,""
8.50996,10.7866,9.68179,22.6196,465.585,0,558.766,702.393,0.900669,0.121646,0.816554,60,""
5.65435,7.93619,5.93219,11.8148,183.313,0,125.961,271.79,0.803563,0.322924,0.608307,61,""
8.82675,9.70566,9.23493,20.6199,448.144,0,574.216,680.664,0.870873,0.146835,0.879404,62,""
8.55586,9.70543,9.77948,22.1016,480.529,0,601.603,734.432,0.887717,0.154307,0.727659,63,""
8.36041,10.6127,8.24476,24.1404,474.113,0,563.09,721.967,0.926513,0.0945488,0.777238,64,""
10.4392,11.1668,10.9915,19.0455,581.828,0,803.259,876.096,0.709771,0.355495,0.816408,65,""
6.33417,7.54895,6.88329,11.8307,204.166,0,180.81,315.239,0.682435,0.423271,0.750266,66,""
7.692,8.62145,7.26674,14.1289,265.642,0,272.693,406.582,0.774171,0.267998,0.842655,67,""
4.96927,5.26897,4.63091,6.93343,80.2014,0,43.4284,121.742,0.610208,0.473484,0.823243,68,""
9.81158,12.0714,9.72517,23.1141,563.545,0,715.441,849.293,0.878496,0.139256,0.872524,69,""
7.30495,7.67642,6.87524,10.8651,218.521,0,209.713,335.155,0.564231,0.54653,0.797339,70,""
9.01171,12.2578,9.59436,20.2453,464.424,0,575.472,698.683,0.858729,0.173396,0.814732,71,""
4.22861,5.05024,4.2367,5.47222,59.7147,0,29.79,89.1765,0.298153,0.850224,0.825485,72,""
9.20674,9.77201,9.47537,20.3948,455.235,0,556.068,678.29,0.85098,0.178827,0.833319,73,""
7.41409,8.06975,7.58491,15.3507,272.084,0,279.864,413.058,0.831897,0.197151,0.852662,74,""
8.67907,12.865,9.16062,23.323,575.492,0,767.629,895.592,0.898732,0.152236,0.665203,75,""
5.44266,6.19912,5.89574,10.4279,140.943,0,107.148,219.919,0.731192,0.289269,0.929267,76,""
6.75685,7.43772,6.90889,10.3701,195.32,0,167.319,297.348,0.580979,0.542912,0.771802,77,""
3.52392,3.92012,3.78606,5.51688,47.4407,0,21.2891,71.3934,0.543453,0.647891,0.704667,78,""
3.79554,3.97676,3.65732,5.8289,50.4986,0,23.8394,77.7514,0.631619,0.48626,0.757582,79,""
4.49888,6.09037,4.62579,6.65839,75.9703,0,45.3873,117.736,0.465065,0.751263,0.712047,80,""
8.15548,10.6602,8.2595,21.801,476.463,0,619.492,728.897,0.889986,0.120615,0.912107,81,""
9.34381,10.9614,9.01247,19.0611,456.256,0,552.594,701.93,0.825453,0.2124,0.821784,82,""
4.07239,4.86066,4.23539,6.77679,73.4029,0,40.1759,112.113,0.645268,0.393821,0.900744,83,""
3.47078,4.2068,3.44885,5.27729,44.9512,0,21.2891,69.1442,0.479129,0.608315,0.856252,84,""
4.14091,4.27132,4.10059,5.84456,63.0868,0,33.3012,95.7051,0.473613,0.586088,0.898137,85,""
5.63207,6.75982,5.87122,9.48191,144.883,0,118.495,218.778,0.650985,0.520567,0.670452,86,""
9.85646,11.3282,9.50575,24.2066,570.304,0,745.12,847.983,0.912896,0.115939,0.751295,87,""
5.6357,6.6165,5.98444,9.22727,140.783,0,113.431,214.907,0.623971,0.467534,0.80428,88,""
5.30187,5.9069,5.48561,10.5292,151.763,0,121.932,230.862,0.80117,0.203535,0.976881,89,""
8.85033,10.4514,8.8747,18.3711,376.828,0,433.655,578.62,0.853814,0.180463,0.810058,90,""
5.80434,6.28132,5.98017,8.61584,129.066,0,96.2816,196.953,0.48037,0.584848,0.888486,91,""
4.4837,5.46324,4.59585,6.28735,75.692,0,47.531,109.923,0.401198,0.65023,0.920908,92,""
12.7227,23.3548,13.1899,26.223,1206.8,0,1415.47,1775.11,0.810206,0.528501,0.359117,93,""
8.79304,9.19337,11.3647,33.289,715.661,0,793.575,1100.8,0.943823,0.0976335,0.575391,94,""
10.0796,11.0734,9.94039,23.224,577.004,0,757.982,893.823,0.887413,0.151495,0.743174,95,""
8.93188,9.58735,8.40539,22.0888,416.894,0,466.07,651.696,0.887386,0.136855,0.82287,96,""
8.70609,9.71302,8.99212,21.7473,500.215,0,636.974,772.332,0.889611,0.115163,0.958542,97,""
7.24611,9.34979,8.46047,21.7761,415.26,0,498.484,647.5,0.904229,0.122618,0.781049,98,""
5.74991,6.46117,6.01488,17.0184,249.401,0,220.579,382.606,0.929218,0.107037,0.661281,99,""
4.30656,5.41469,4.68365,6.96244,91.3721,0,48.0115,142.231,0.491669,0.649844,0.782235,100,""
9.86402,10.6734,9.47528,20.1636,495.186,0,598.72,745.434,0.837028,0.191036,0.853098,101,""
6.16525,7.50022,6.78676,11.4492,194.624,0,151.463,294.04,0.74377,0.30793,0.832104,102,""
9.15198,9.85976,9.23403,21.6082,490.101,0,623.853,751.781,0.893472,0.114386,0.931303,103,""
8.29175,11.4611,9.07361,23.5624,483.078,0,576.174,750.909,0.8935,0.130351,0.817021,104,""
9.35005,10.7429,9.69751,22.5937,559.706,0,711.191,853.743,0.852979,0.174736,0.84139,105,""
5.67346,6.15439,5.90804,14.3337,192.819,0,150.983,294.223,0.857283,0.147458,0.967847,106,""
8.2975,8.83365,7.90194,17.2464,351.639,0,392.371,536.453,0.815647,0.221363,0.832806,107,""
3.96425,4.21943,3.79432,5.1073,51.146,0,20.0325,78.8044,0.538659,0.605199,0.762297,108,""
3.64605,3.89821,3.4178,5.2936,42.4545,0,17.5931,65.246,0.613523,0.497779,0.776402,109,""
9.40838,11.3003,10.1873,20.2783,533.503,0,682.99,801.297,0.837392,0.224537,0.724196,110,""
8.08385,10.8845,9.51111,21.639,512.464,0,640.781,778.658,0.892696,0.168716,0.636004,111,""
4.45683,6.38783,4.76227,7.72119,99.9346,0,70.3725,149.602,0.651365,0.727414,0.47928,112,""
4.4372,6.49318,4.55565,7.47434,89.9936,0,62.2042,137.985,0.667675,0.666261,0.498791,113,""
8.58064,11.8026,9.92766,20.7123,556.323,0,760.422,846.602,0.844287,0.226128,0.688604,114,""
