"corals.Label-Analysis(2)"
"Thickness3d","Breadth3d","Width3d","Length3d","Area3d","BorderVoxelCount","Volume3d","VoxelFaceArea","Anisotropy","Elongation","Flatness","index","Materials"
5.5801,7.21601,6.31296,18.2923,240.675,0,222.168,375.896,0.937466,0.0984945,0.634895,58,""
4.55456,5.15144,4.68345,10.2553,99.8718,0,64.6066,150.444,0.793782,0.31167,0.661656,59,""
5.88591,8.26435,6.98055,20.9446,265.049,0,236.657,404.634,0.938184,0.0842135,0.734035,60,""
3.80367,4.14009,3.96162,8.2862,80.6927,0,52.8163,118.698,0.835685,0.176788,0.929449,61,""
5.96789,6.18661,6.01427,17.3834,219.862,0,193.968,333.384,0.925892,0.0814431,0.909932,62,""
6.03538,7.63482,7.06642,20.2434,266.163,0,239.54,407.027,0.921427,0.125866,0.624258,63,""
5.39429,7.06522,6.04356,21.845,257.347,0,224.349,390.838,0.955899,0.0642969,0.685901,64,""
6.80631,7.81141,6.84232,14.8642,257.35,0,278.755,387.881,0.842339,0.20093,0.784654,65,""
4.51724,6.3165,4.58555,9.97086,112.039,0,80.8692,174.518,0.815525,0.308127,0.598699,66,""
5.09808,6.56065,5.58549,12.3111,161.192,0,133.649,245.937,0.873314,0.163379,0.775414,67,""
2.60859,2.92324,2.77791,5.12221,32.6385,0,14.7102,47.0144,0.793845,0.214057,0.963086,68,""
6.81804,10.2481,7.25633,21.4243,352.496,0,347.686,535.322,0.917104,0.111866,0.741031,69,""
5.37528,6.12356,5.25413,9.50763,126.551,0,95.5794,194.439,0.740408,0.326928,0.794036,70,""
6.01306,8.22254,6.47109,17.5152,244.67,0,238.801,368.114,0.904557,0.125389,0.761171,71,""
2.51603,2.87367,2.67771,3.62931,21.0319,0,7.90951,31.3415,0.599574,0.438064,0.91408,72,""
7.05951,8.17685,7.71249,18.0752,283.176,0,268.369,424.085,0.880233,0.153396,0.780775,73,""
5.87261,7.00356,5.48943,13.4082,169.278,0,130.987,261.957,0.902498,0.144116,0.676556,74,""
6.77211,9.14288,7.27615,22.6399,367.885,0,374.889,577.322,0.928884,0.119351,0.595856,75,""
3.76064,4.4372,4.09826,8.92088,73.9452,0,45.0177,114.053,0.810555,0.22502,0.841902,76,""
4.56009,6.07922,4.63423,8.19674,106.213,0,76.7666,161.158,0.711266,0.475797,0.606843,77,""
2.27527,2.78778,2.42179,3.59536,19.0421,0,6.94854,29.0207,0.616052,0.431142,0.890539,78,""
1.98267,2.40328,2.31053,3.95138,18.8821,0,6.6159,30.0779,0.712448,0.306841,0.93714,79,""
2.88967,3.70323,2.94446,4.92587,34.551,0,16.0408,52.0372,0.719126,0.359506,0.781278,80,""
5.61789,5.6243,5.72731,19.0587,222.506,0,188.645,337.937,0.91956,0.0940614,0.855184,81,""
8.01264,8.28167,7.24025,17.9151,289.112,0,260.977,450.185,0.865259,0.183716,0.733423,82,""
2.19743,3.03329,2.26414,4.85985,28.1603,0,10.9772,43.2467,0.84044,0.229314,0.695817,83,""
1.81904,2.08529,2.10316,3.89332,16.0046,0,4.91572,24.3833,0.839039,0.184845,0.870788,84,""
2.21178,2.58624,2.49909,4.6206,24.0323,0,8.9444,36.9245,0.805362,0.242263,0.803418,85,""
3.7801,4.90935,4.24606,7.76162,76.8659,0,47.6788,116.079,0.833657,0.286829,0.57994,86,""
6.09027,8.06612,6.92227,21.0927,327.733,0,322.146,488.811,0.943463,0.0863278,0.654914,87,""
4.07595,4.46506,4.17792,7.04655,68.7689,0,42.4674,105.612,0.773353,0.264174,0.857945,88,""
3.99995,4.21264,3.91673,9.0378,84.5805,0,52.8533,129.816,0.88383,0.135407,0.857934,89,""
6.40521,7.4096,6.84942,16.3008,229.433,0,197.923,356.156,0.88976,0.140314,0.785664,90,""
3.95667,4.29674,3.88941,6.89413,59.4468,0,31.5641,90.9961,0.772823,0.305361,0.743961,91,""
2.48267,3.05322,2.7096,4.8308,30.9627,0,12.8622,45.2095,0.785405,0.246645,0.870056,92,""
8.11089,9.64495,8.6866,22.3801,409.641,0,473.61,580.795,0.907206,0.144618,0.641645,93,""
5.50791,6.50374,6.08709,21.3348,287.272,0,254.028,442.163,0.946754,0.0650337,0.818738,94,""
7.56685,8.7889,7.4642,21.7112,335.58,0,348.758,520.195,0.922857,0.112616,0.685012,95,""
5.60474,7.27418,6.29928,19.9753,246.881,0,215.885,388.511,0.915059,0.11215,0.757385,96,""
6.26491,6.56999,6.49402,18.7011,289.231,0,290.434,449.423,0.934687,0.0773396,0.844496,97,""
5.61886,7.47718,6.39637,20.0772,251.998,0,227.934,392.733,0.940521,0.0904076,0.657897,98,""
4.11158,4.72658,4.26957,15.5922,141.807,0,94.9141,219.313,0.960683,0.0642084,0.612335,99,""
2.62885,3.2234,3.06465,5.0967,35.6132,0,15.8929,56.285,0.701506,0.38009,0.785323,100,""
7.49264,8.77459,7.43439,18.5341,294.712,0,312.241,444.332,0.887264,0.16,0.7046,101,""
4.90495,5.68775,4.96386,9.38306,102.761,0,73.8467,151.714,0.790626,0.240253,0.871473,102,""
6.46272,6.69658,6.38524,19.3345,260.157,0,249.667,401.808,0.929656,0.0815192,0.86291,103,""
6.39124,8.39581,6.14779,20.9568,283.36,0,254.878,444.888,0.924991,0.1067,0.702985,104,""
8.2106,9.01582,8.16943,20.6415,382.015,0,373.595,589.592,0.887439,0.146972,0.765868,105,""
3.88007,4.6146,4.38897,12.8515,108.183,0,65.6046,165.572,0.933094,0.0887612,0.753776,106,""
6.06389,7.15755,6.30271,15.056,225.377,0,195.742,344.959,0.871421,0.165085,0.778868,107,""
1.82732,2.12804,1.88362,2.74827,10.3756,0,2.84594,15.9867,0.508275,0.612621,0.802657,108,""
1.64869,2.17204,1.92948,3.26907,12.2932,0,3.51123,18.1285,0.776446,0.335854,0.66563,109,""
6.74728,7.03361,6.13887,18.0383,256.646,0,245.564,380.449,0.882167,0.130571,0.902446,110,""
5.18732,6.44343,6.21089,19.8343,245.34,0,226.345,370.972,0.937747,0.105316,0.591104,111,""
1.94587,2.83166,2.31975,4.54005,23.53,0,8.31607,33.9635,0.85479,0.280514,0.517658,112,""
2.06813,2.38275,2.13483,4.22793,19.2334,0,6.4311,29.4377,0.838239,0.254835,0.634767,113,""
6.50186,8.06524,6.60485,17.6424,294.985,0,270.069,455.29,0.911048,0.152184,0.584502,114,""
