"Nodes"
"Node.id","Node.pos.x","Node.pos.y","Node.pos.z","Node.label","Node.pr_vertex_checked","Node.pr_adjacency_checked","Node.dijkstra.vertex_distance","Node.dijkstra.weight_distance","Node.dijkstra.root","Node.dijkstra.generation","Node.dijkstra.accepted","Node.degree.in","Node.degree.out","Node.degree.total","Node.component"
68,1.2917663,-38.996368,-1034.1411,69,0,0,5,5,51,6,1,1,2,3,1
69,38.671654,17.676001,-1036.075,70,0,0,6,6,64,7,1,1,2,3,0
70,17.667738,13.503281,-1033.8063,71,0,0,4,4,64,5,1,1,1,2,0
71,15.246167,-49.939781,-1036.4509,72,0,0,7,7,51,8,1,1,0,1,1
72,32.95715,11.222616,-1033.4121,73,0,0,5,5,64,6,1,1,2,3,0
73,9.2425718,-47.937744,-1034.3555,74,0,0,6,6,51,7,1,1,2,3,1
74,11.852911,-33.977276,-1031.0729,75,0,0,5,5,51,6,1,1,1,2,1
75,28.124186,-30.067749,-1034.2263,76,0,0,6,6,51,7,1,1,0,1,1
76,23.852983,-39.644554,-1033.4631,77,0,0,6,6,51,7,1,1,1,2,1
77,42.898602,18.912989,-1035.4133,78,0,0,7,7,64,8,1,1,0,1,0
78,47.055992,4.0653596,-1034.5844,79,0,0,7,7,64,8,1,1,0,1,0
79,37.964058,-22.244572,-1033.5,80,0,0,7,7,51,8,1,1,0,1,1
80,1.9662129,4.5492067,-1030.0167,81,0,0,3,3,64,4,1,1,1,2,0
81,20.779119,-21.764601,-1030.1415,82,0,0,5,5,51,6,1,1,3,4,1
82,39.251614,18.364166,-1031.6788,83,0,0,7,7,64,8,1,1,0,1,0
83,9.8677111,-52.903229,-1030.2834,84,0,0,7,7,51,8,1,1,0,1,1
84,26.117476,-42.912041,-1029.0372,85,0,0,7,7,51,8,1,1,0,1,1
85,-3.3737237,-39.24456,-1027.3376,86,0,0,6,6,51,7,1,1,0,1,1
86,5.5131679,3.9974649,-1016.1112,87,0,0,4,4,64,5,1,1,1,2,0
87,28.652803,-21.996279,-1024.1647,88,0,0,6,6,51,7,1,1,0,1,1
88,21.55423,-29.636293,-1022.7167,89,0,0,6,6,51,7,1,1,0,1,1
89,14.986032,-7.7955985,-1014.3393,90,0,0,5,5,64,6,1,1,2,3,0
90,16.382063,-15.182037,-1008.6741,91,0,0,6,6,64,7,1,1,0,1,0
91,17.865215,-8.0896139,-1008.6974,92,0,0,6,6,64,7,1,1,0,1,0
92,-24.055508,8.8633938,-1064.2563,93,0,0,1,1,51,2,1,1,1,2,1
93,-1.1360111,5.4997001,-1054.4218,94,0,0,3,3,51,4,1,1,0,1,1
94,-20.877035,-23.550037,-1071.9237,95,0,0,3,3,51,4,1,1,2,3,1
95,-14.557452,-34.858421,-1078.9225,96,0,0,4,4,51,5,1,1,1,2,1
96,17.127478,5.5954952,-1090.34,97,0,0,0,0,96,1,1,0,1,1,2
97,24.315336,-6.230309,-1096.5463,98,0,0,1,1,96,2,1,1,1,2,2
98,31.700933,-13.621527,-1094.8829,99,0,0,2,2,96,3,1,1,0,1,2
99,15.01786,-40.879295,-1071.344,100,0,0,5,5,51,6,1,1,0,1,1
100,10.098571,-35.185661,-1075.748,101,0,0,4,4,51,5,1,1,1,2,1
101,10.852536,-41.526394,-1068.9497,102,0,0,7,7,51,8,1,1,0,1,1
102,15.264778,5.6639614,-1073.8555,103,0,0,5,5,51,6,1,1,1,2,1
103,29.01001,-3.8215652,-1076.2006,104,0,0,6,6,51,7,1,1,2,3,1
104,6.1390471,-30.867245,-1092.8304,105,0,0,6,6,51,7,1,1,3,4,1
105,9.9359255,-34.413662,-1102.7292,106,0,0,7,7,51,8,1,1,0,1,1
106,1.8261613,-27.511429,-1105.8892,107,0,0,6,6,51,7,1,1,1,2,1
107,-1.1169341,-31.872734,-1110.1715,108,0,0,0,0,107,1,1,0,0,0,0
108,-0.33398613,-30.401751,-1111.2537,109,0,0,7,7,51,8,1,1,0,1,1
109,-12.068409,10.187293,-1062.6945,110,0,0,2,2,51,3,1,1,3,4,1
110,-8.9109125,16.661201,-1074.5637,111,0,0,3,3,51,4,1,1,1,2,1
111,-11.067607,16.463282,-1029.7573,112,0,0,3,3,64,4,1,1,0,1,0
112,-9.4653797,19.853216,-1031.1586,113,0,0,3,3,64,4,1,1,0,1,0
113,-7.1386566,16.117182,-1031.8832,114,0,0,2,2,64,3,1,1,4,5,0
