"Segments"
"Segment.id","StartNode.id","EndNode.id","StartNode.pos.x","StartNode.pos.y","StartNode.pos.z","EndNode.pos.x","EndNode.pos.y","EndNode.pos.z","Segment.pr_edge_checked","Segment.dijkstra.indicator","Segment.dijkstra.flipped","Segment.dijkstra.visited","Segment.component","StartNode.label","EndNode.label","StartNode.pr_vertex_checked","EndNode.pr_vertex_checked","StartNode.pr_adjacency_checked","EndNode.pr_adjacency_checked","StartNode.dijkstra.vertex_distance","EndNode.dijkstra.vertex_distance","StartNode.dijkstra.weight_distance","EndNode.dijkstra.weight_distance","StartNode.dijkstra.root","EndNode.dijkstra.root","StartNode.dijkstra.generation","EndNode.dijkstra.generation","StartNode.dijkstra.accepted","EndNode.dijkstra.accepted","StartNode.degree.in","EndNode.degree.in","StartNode.degree.out","EndNode.degree.out","StartNode.degree.total","EndNode.degree.total","StartNode.component","EndNode.component"
27,95,26,-14.557452,-34.858421,-1078.9225,-6.2833948,-37.415516,-1079.6144,0,1,0,0,1,96,27,0,0,0,0,4,5,4,5,51,51,5,6,1,1,1,1,1,0,2,1,1,1
28,103,34,29.01001,-3.8215652,-1076.2006,40.963692,-8.1989059,-1071.4351,0,1,0,0,1,104,35,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,2,2,3,3,1,1
29,103,35,29.01001,-3.8215652,-1076.2006,23.864695,-7.7466002,-1071.9651,0,1,0,0,1,104,36,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,2,1,3,2,1,1
30,27,100,6.58287,-16.996059,-1076.4987,10.098571,-35.185661,-1075.748,0,1,0,0,1,28,101,0,0,0,0,3,4,3,4,51,51,4,5,1,1,1,1,1,1,2,2,1,1
31,32,27,-4.936131,-3.8386722,-1070.1017,6.58287,-16.996059,-1076.4987,0,1,0,0,1,33,28,0,0,0,0,2,3,2,3,51,51,3,4,1,1,1,1,1,1,2,2,1,1
32,28,30,43.362804,19.446976,-1076.0673,47.094254,23.643669,-1076.5054,0,1,0,0,1,29,31,0,0,0,0,7,8,7,8,51,51,8,9,1,1,1,1,2,0,3,1,1,1
33,28,33,43.362804,19.446976,-1076.0673,49.108692,19.234264,-1075.6854,0,1,0,0,1,29,34,0,0,0,0,7,8,7,8,51,51,8,9,1,1,1,1,2,0,3,1,1,1
34,34,29,40.963692,-8.1989059,-1071.4351,49.392197,-14.228338,-1074.9437,0,1,0,0,1,35,30,0,0,0,0,7,8,7,8,51,51,8,9,1,1,1,1,2,0,3,1,1,1
35,31,94,-30.869951,-10.520102,-1069.5344,-20.877035,-23.550037,-1071.9237,0,1,0,0,1,32,95,0,0,0,0,2,3,2,3,51,51,3,4,1,1,1,1,1,2,2,3,1,1
36,42,31,-29.833784,-1.2139434,-1055.3658,-30.869951,-10.520102,-1069.5344,0,1,0,0,1,43,32,0,0,0,0,1,2,1,2,51,51,2,3,1,1,1,1,1,1,2,2,1,1
